umbral,accuracy,recall_empate
0.28,0.5682819383259912,0.27586206896551724
0.32,0.5594713656387665,0.08620689655172414
0.34,0.5550660792951542,0.05172413793103448
0.38,0.5506607929515418,0.034482758620689655
0.36,0.5506607929515418,0.034482758620689655
0.3,0.5462555066079295,0.13793103448275862
0.4,0.5418502202643172,0.0
0.26,0.5242290748898678,0.3448275862068966
0.24,0.5154185022026432,0.5344827586206896
0.22,0.4977973568281938,0.6379310344827587
0.2,0.44493392070484583,0.6724137931034483
