equipo,ataque_pymc,defensa_pymc
Spain,0.5486061813094883,0.07180703271199626
Germany,0.43898280998612943,0.011484678851655517
Brazil,0.40627640936274473,0.13239829829274802
Colombia,0.38019327133758835,0.20337364924859008
Switzerland,0.32811832852047407,0.07765301891528224
Portugal,0.2960425306541573,0.330964692757561
Netherlands,0.2894529701835224,-0.007854579358941809
Austria,0.2864648767201707,0.13443497754932182
Sweden,0.2656530492403961,-0.4405112009086257
Argentina,0.2498640933789722,0.362677069808789
Belgium,0.24250438978395406,0.12384809892257903
France,0.23299913883702958,0.39166917191608297
Morocco,0.2132560914938432,0.15404339508228898
Egypt,0.12172888152498001,-0.019676968131426213
Croatia,0.12073208949357798,0.052406710260018294
Norway,0.11426362019805532,-0.09722883868069145
Algeria,0.10657236681235355,0.021388370808075267
Senegal,0.07105861129653288,-0.14282646824696688
Curaçao,0.06626781504429818,-0.49841087796151234
Ivory Coast,0.0442612628557475,0.24910465273215399
United States,0.033724225768836574,-0.30622417549481007
Japan,0.023289541339583646,0.15683311344365286
England,0.007275386287347261,0.08111385317847705
Uruguay,-0.02446496537843013,0.13457660453296627
Mexico,-0.028031018423193048,0.16552747610682636
South Korea,-0.04306639786444589,-0.0440670713051988
Turkey,-0.04804387369483755,-0.2614738905801519
Australia,-0.09389853124386831,0.15657605151010676
Qatar,-0.1096508379340137,-0.5666337067288908
Paraguay,-0.13112487942186093,0.13554957111012939
Bosnia and Herzegovina,-0.14117947593839456,-0.41773885798596383
Czech Republic,-0.15664902299844677,-0.22326098923513418
Cape Verde,-0.15733795267915202,0.10848089551925079
Jordan,-0.1834923678932798,-0.09595691453902705
Scotland,-0.18828024891438672,-0.08553334971515572
Haiti,-0.18846935109111554,-0.3151171889747408
Canada,-0.20349468657743733,0.25971739592528903
Uzbekistan,-0.20736603984431423,-0.065477858661694
Iran,-0.2179489399921751,0.10035126951426449
DR Congo,-0.23129376515101394,0.16160536966603573
Ghana,-0.24376672035410077,-0.11883857809846167
South Africa,-0.25245825510734354,0.03919599063351808
Tunisia,-0.287318238526371,-0.13664498910238052
Panama,-0.2988701234127664,-0.2728607455634941
Iraq,-0.30830845749075086,-0.15629301829582626
Ecuador,-0.3312182395316584,0.6015727995556603
New Zealand,-0.3416120415194209,-0.17561608205542686
Saudi Arabia,-0.47024351044700574,0.029892141071200643
